iter	RMSE
0	121.4720133
1	113.4606167
2	105.2636205
3	97.65861812
4	90.06628572
5	83.4231839
6	77.52519714
7	71.52769473
8	66.2822567
9	61.17016975
10	56.92609438
11	53.22491898
12	49.49003173
13	46.72444891
14	43.65827017
15	40.79183785
16	38.20818026
17	35.64102458
18	33.48025617
19	31.52724901
20	29.98535782
21	28.38617504
22	26.85880067
23	25.62354387
24	24.38758667
25	23.0657836
26	22.04152072
27	21.21695681
28	20.39770734
29	19.47817407
30	18.72148858
31	18.0482289
32	17.4766541
33	17.03927058
34	16.59995642
35	16.14442473
36	15.67906709
37	15.33592443
38	15.05455735
39	14.77148038
40	14.49678766
41	14.28355474
42	14.00582449
43	13.73284688
44	13.52386142
45	13.33628525
46	13.15596401
47	13.10812002
48	12.83214995
49	12.66249863
50	12.50241644
51	12.35338209
52	12.2507957
53	12.05668897
54	11.95983595
55	11.91738965
56	11.83215038
57	11.80110432
58	11.64960561
59	11.57283666
60	11.42905284
61	11.40066884
62	11.25289965
63	11.16211506
64	11.06803757
65	11.03382372
66	10.9680533
67	10.91025271
68	10.88044865
69	10.77596012
70	10.66128165
71	10.53275709
72	10.35280669
73	10.25416059
74	10.18803091
75	10.16306773
76	10.10302198
77	9.969801747
78	9.801658008
79	9.700350214
80	9.608644054
81	9.475897801
82	9.346619336
83	9.273581527
84	9.182683169
85	9.09995055
86	9.011112572
87	8.908469793
88	8.875192333
89	8.781013644
90	8.726993732
91	8.613017681
92	8.540638607
93	8.523326648
94	8.431219612
95	8.376805011
96	8.289196413
97	8.273402405
98	8.229063485
99	8.158373587
100	8.143285363
101	8.026897313
102	7.967572366
103	7.953702416
104	7.940497575
105	7.877457053
106	7.857667652
107	7.801434587
108	7.699337361
109	7.641929816
110	7.563703449
111	7.552925922
112	7.524697328
113	7.5120692
114	7.501164227
115	7.44426151
116	7.391569637
117	7.352599896
118	7.327340336
119	7.239132874
120	7.228941852
121	7.172392547
122	7.100284233
123	7.079536357
124	7.046537005
125	6.984030684
126	6.907010472
127	6.853499969
128	6.810093911
129	6.801809087
130	6.792561919
131	6.750418471
132	6.741887725
133	6.716610417
134	6.661903936
135	6.615197166
136	6.510626164
137	6.463362497
138	6.4125664
139	6.40411088
140	6.397140167
141	6.353591316
142	6.345856151
143	6.282483257
144	6.248953263
145	6.183430515
146	6.165023556
147	6.157532065
148	6.089015583
149	5.999578641
150	5.97542956
151	5.92604386
152	5.881687745
153	5.830638882
154	5.811420556
155	5.73752957
156	5.713390034
157	5.660883518
158	5.616637671
159	5.601020999
160	5.560929935
161	5.53773272
162	5.481438383
163	5.413228176
164	5.385331973
165	5.346109563
166	5.298876129
167	5.293668877
168	5.276583941
169	5.270501218
170	5.251945493
171	5.227413165
172	5.201393932
173	5.129097193
174	5.103319386
175	5.079334846
176	5.034828385
177	5.006735037
178	4.989620135
179	4.983764687
180	4.961230621
181	4.946571279
182	4.903210906
183	4.873642917
184	4.835560432
185	4.785787655
186	4.741883508
187	4.736263365
188	4.707147219
189	4.686027009
190	4.653780757
191	4.626941569
192	4.600973266
193	4.576181215
194	4.558111801
195	4.536370007
196	4.519664694
197	4.472323359
198	4.44305694
199	4.425138253
200	4.368798824
201	4.33435978
202	4.320430858
203	4.290947031
204	4.286429199
205	4.260385656
206	4.236494088
207	4.230774111
208	4.208809881
209	4.188696133
210	4.18461513
211	4.165431548
212	4.14219651
213	4.111443337
214	4.1016901
215	4.098467609
216	4.066890686
217	4.04589665
218	4.032777502
219	4.014508326
220	3.989824287
221	3.960933559
222	3.928720309
223	3.912295897
224	3.893329803
225	3.874302397
226	3.823559715
227	3.787760577
228	3.744709618
229	3.727767829
230	3.693172073
231	3.667682678
232	3.662055582
233	3.637463565
234	3.624629936
235	3.60754543
236	3.570978358
237	3.563906238
238	3.550624025
239	3.514007799
240	3.511147897
241	3.505840898
242	3.485961712
243	3.472218856
244	3.449070743
245	3.432629258
246	3.416045104
247	3.398005364
248	3.375119036
249	3.353686624
250	3.329523123
251	3.298384812
252	3.263825246
253	3.253773056
254	3.239445929
255	3.226607371
256	3.204147366
257	3.178015764
258	3.150735259
259	3.140677188
260	3.107235938
261	3.089175798
262	3.079702497
263	3.06665806
264	3.045218615
265	3.042412973
266	3.032429097
267	3.014796386
268	2.9846821
269	2.977002734
270	2.974757204
271	2.948327356
272	2.92271226
273	2.910732035
274	2.899538353
275	2.874569123
276	2.860042782
277	2.830166442
278	2.803162598
279	2.800072903
280	2.787346851
281	2.767893508
282	2.737517723
283	2.718629489
284	2.708944982
285	2.699542512
286	2.673457888
287	2.66692971
288	2.644393953
289	2.635363847
290	2.622181307
291	2.603414224
292	2.583768179
293	2.568146409
294	2.560422011
295	2.548963072
296	2.528906677
297	2.526484962
298	2.513318893
299	2.504942624
