iter	Passed	Remaining
0	57	17095
1	57	8597
2	58	5761
3	58	4342
4	59	3491
5	59	2923
6	60	2517
7	60	2212
8	61	1976
9	61	1794
10	62	1648
11	63	1524
12	63	1412
13	64	1316
14	64	1233
15	65	1160
16	65	1095
17	66	1045
18	67	993
19	67	946
20	68	904
21	68	866
22	69	831
23	69	798
24	69	769
25	70	741
26	70	716
27	71	693
28	71	671
29	72	651
30	72	632
31	73	615
32	73	597
33	74	582
34	74	566
35	75	553
36	75	539
37	76	527
38	76	514
39	77	503
40	77	492
41	78	482
42	78	471
43	79	462
44	80	455
45	80	446
46	81	440
47	85	446
48	85	438
49	86	430
50	86	422
51	86	414
52	87	407
53	87	400
54	88	393
55	88	386
56	89	380
57	89	374
58	90	368
59	90	362
60	91	356
61	91	351
62	91	346
63	92	340
64	92	335
65	93	331
66	93	326
67	94	321
68	94	317
69	95	313
70	95	309
71	96	305
72	96	300
73	97	297
74	97	293
75	98	289
76	98	285
77	99	281
78	99	278
79	100	275
80	100	271
81	100	268
82	101	265
83	101	262
84	102	258
85	102	255
86	103	252
87	103	249
88	104	246
89	104	244
90	105	241
91	105	238
92	105	235
93	106	233
94	106	230
95	107	228
96	107	225
97	108	223
98	108	220
99	109	218
100	109	216
101	110	213
102	110	211
103	111	209
104	111	207
105	112	205
106	112	202
107	112	200
108	113	198
109	113	196
110	114	194
111	114	192
112	115	190
113	115	188
114	116	186
115	116	184
116	117	183
117	117	181
118	117	179
119	118	177
120	118	175
121	119	174
122	119	172
123	120	170
124	120	168
125	121	167
126	121	165
127	122	163
128	123	163
129	124	162
130	124	160
131	125	159
132	125	157
133	126	156
134	126	154
135	127	153
136	127	151
137	127	150
138	128	148
139	128	147
140	129	145
141	129	144
142	130	143
143	130	141
144	131	140
145	131	139
146	132	137
147	132	136
148	134	136
149	135	135
150	135	133
151	135	132
152	136	131
153	136	129
154	137	128
155	138	127
156	138	126
157	138	124
158	139	123
159	140	122
160	140	121
161	141	120
162	141	119
163	142	118
164	142	116
165	143	115
166	143	114
167	144	113
168	144	112
169	145	111
170	145	109
171	146	108
172	146	107
173	147	106
174	147	105
175	148	104
176	148	103
177	149	102
178	149	101
179	150	100
180	150	99
181	151	98
182	152	97
183	152	96
184	153	95
185	153	94
186	154	93
187	154	92
188	155	91
189	155	90
190	156	89
191	156	88
192	157	87
193	157	86
194	158	85
195	158	84
196	158	83
197	159	82
198	159	81
199	160	80
200	160	79
201	161	78
202	161	77
203	162	76
204	162	75
205	163	74
206	163	73
207	164	72
208	164	71
209	165	70
210	165	69
211	166	68
212	166	68
213	167	67
214	167	66
215	168	65
216	168	64
217	168	63
218	169	62
219	169	61
220	170	60
221	170	60
222	171	59
223	171	58
224	172	57
225	172	56
226	173	55
227	173	54
228	174	53
229	174	53
230	174	52
231	175	51
232	175	50
233	176	49
234	176	48
235	177	48
236	177	47
237	178	46
238	178	45
239	179	44
240	179	43
241	180	43
242	180	42
243	181	41
244	181	40
245	182	39
246	182	39
247	182	38
248	183	37
249	183	36
250	184	35
251	184	35
252	185	34
253	185	33
254	186	32
255	186	32
256	187	31
257	187	30
258	188	29
259	188	29
260	188	28
261	189	27
262	189	26
263	190	25
264	190	25
265	191	24
266	191	23
267	192	22
268	192	22
269	193	21
270	193	20
271	194	19
272	194	19
273	195	18
274	195	17
275	196	17
276	196	16
277	196	15
278	197	14
279	197	14
280	198	13
281	198	12
282	199	11
283	199	11
284	200	10
285	200	9
286	201	9
287	201	8
288	202	7
289	202	6
290	203	6
291	203	5
292	204	4
293	205	4
294	205	3
295	206	2
296	206	2
297	207	1
298	208	0
299	209	0
