player_name,grade
Blake Bortles,6.8
Johnny Manziel,6.4
AJ McCarron,6.2
Jimmy Garoppolo,5.9
Jeff Mathews,5.8
Stephen Morris,5.8
David Fales,5.6
Tom Savage,5.6
Garrett Gilbert,5.5
Connor Shaw,5.5
Keith Price,5.1
Carlos Hyde,6.7
Ka'Deem Carey,6.2
Devonta Freeman,6.1
Dri Archer,5.9
De'Anthony Thomas,5.9
James Baker,5.8
Storm Johnson,5.8
Bishop Sankey,5.8
James Wilder Jr.,5.8
George Atkinson,5.6
Tyler Gaffney,5.6
Ben Malena,5.6
LaDarius Perkins,5.6
Brennan Clay,5.5
Isaiah Crowell,5.5
Stephen Houston,5.5
Silas Redd,5.5
Lorenzo Taliaferro,5.5
Damien Williams,5.5
Senorise Perry,5.4
Zach Bauman,5.1
Kiero Small,5.1
Sammy Watkins,7.1
Mike Evans,6.7
Davante Adams,6.4
Brandin Cooks,6.3
Allen Robinson,6.2
Jordan Matthews,6.1
Bruce Ellington,5.9
Jared Abbrederis,5.8
Martavis Bryant,5.8
Kain Colter,5.8
Shaq Evans,5.8
Josh Huff,5.8
Cody Latimer,5.8
Paul Richardson,5.8
Devin Street,5.8
Brelan Chancellor,5.6
Ryan Grant,5.6
Allen Hurns,5.6
Marcus Lucas,5.6
Tevin Reese,5.6
Willie Snead,5.6
Michael Campanaro,5.5
Donte Foster,5.5
Jeremy Gallon,5.5
Cody Hoffman,5.5
Corey Brown,5.4
Torrence Allen,5.1
Damian Copeland,5.1
Gerald Ford,5.1
Seantavius Jones,5.1
Rashad Lawrence,5.1
Bernard Reedy,5.1
Albert Wilson,5.1
Eric Ebron,6.8
C.J. Fiedorowicz,6.1
Jace Amaro,5.9
Marcel Jensen,5.8
Jacob Pedersen,5.8
Blake Annen,5.6
Xavier Grimble,5.6
Arthur Lynch,5.6
Joe Don Duncan,5.5
Nic Jacobs,5.5
Ted Bolser,5.1
Mike Flacco,5.1
D.J. Tialavea,5.1
Jameis Winston,7.0
Brett Hundley,6.1
Sean Mannion,5.8
Bryce Petty,5.8
Connor Halliday,5.6
Blake Sims,5.6
Anthony Boone,5.4
Dylan Thompson,5.1
Melvin Gordon,6.8
Tevin Coleman,6.7
Jay Ajayi,6.4
T.J. Yeldon,6.2
Cameron Artis-Payne,5.9
Mike Davis,5.9
Malcolm Brown,5.8
Braylon Heard,5.8
Matt Jones,5.8
Marcus Murphy,5.8
Trey Williams,5.8
Terrence Magee,5.6
Jahwan Edwards,5.5
Ross Scheuerman,5.5
Michael Dyer,5.4
Kenny Hilliard,5.1
Amari Cooper,7.1
Kevin White,6.7
Jaelen Strong,6.3
Dorial Green-Beckham,6.2
Vince Mayle,6.2
Nelson Agholor,6.1
Stefon Diggs,6.1
Tyler Lockett,6.1
Dres Anderson,5.9
Chris Conley,5.9
Titus Davis,5.9
Justin Hardy,5.9
Tony Lippett,5.9
Darren Waller,5.9
Andre Davis,5.8
Dezmin Lewis,5.8
Tre McBride,5.8
Devante Davis,5.6
Deon Long,5.6
Bud Sasser,5.6
Jordan Taylor,5.6
Kaelin Clay,5.5
Zach D'Orazio,5.4
Nigel King,5.4
Kasen Williams,5.4
Geremy Davis,5.1
Ezell Ruffin,5.1
Clive Walford,6.2
Rory Anderson,5.9
Ben Koyack,5.9
Nick O'Leary,5.9
Gerald Christian,5.8
James O'Shaughnessy,5.8
C.J. Uzomah,5.8
Jesse James,5.6
E.J. Bibbs,5.5
Casey Pierce,5.5
Kennard Backman,5.1
Matt Lengel,5.1
Jared Goff,7.0
Carson Wentz,6.7
Jacoby Brissett,6.1
Brandon Allen,5.9
Cardale Jones,5.9
Dak Prescott,5.9
Nate Sudfeld,5.8
Jeff Driskel,5.6
Kevin Hogan,5.5
Josh Woodrum,5.1
Ezekiel Elliott,7.3
Jordan Howard,6.7
Alex Collins,6.2
Paul Perkins,6.2
Jonathan Williams,6.1
Kelvin Taylor,5.9
Marshaun Coprich,5.8
Devon Johnson,5.8
Peyton Barber,5.6
Wendell Smallwood,5.6
Daniel Lasco,5.5
Zac Brooks,5.4
Darius Jackson,5.4
DeAndre Washington,5.4
Laquon Treadwell,6.8
Will Fuller,6.7
Josh Doctson,6.3
Michael Thomas,6.3
Demarcus Robinson,6.2
Braxton Miller,6.1
Moritz Boehringer,5.9
Aaron Burbridge,5.9
Jakeem Grant,5.9
Kenny Lawler,5.9
Jalin Marshall,5.9
Tajae Sharpe,5.9
Duke Williams,5.9
K.J. Maye,5.8
Malcolm Mitchell,5.8
DeMarcus Ayers,5.6
D.J. Foster,5.6
Ricardo Louis,5.6
Alonzo Russell,5.6
Mekale McKay,5.5
Robbie Chosen,5.4
Trevor Davis,5.4
Cayleb Jones,5.4
Mike Thomas,5.4
Jared Dangerfield,5.1
Johnny Holton,5.1
Devin Lucien,5.1
Hunter Henry,7.0
Austin Hooper,6.2
Tyler Higbee,6.1
Beau Sandland,5.9
Kyle Carter,5.8
Jake McGee,5.8
Ryan Malleck,5.6
Stephen Anderson,5.5
Temarrick Hemingway,5.5
Dillon Gordon,5.4
Darion Griswold,5.4
Steven Scheu,5.1
Mitchell Trubisky,7.0
DeShone Kizer,6.3
Nathan Peterman,6.3
Chad Kelly,5.9
Joshua Dobbs,5.6
Cooper Rush,5.5
Zach Terrell,5.4
Mitch Leidner,5.1
Wes Lunt,5.1
Leonard Fournette,7.1
Alvin Kamara,6.7
Joe Mixon,6.4
Kareem Hunt,6.1
Jeremy McNichols,6.1
Tarik Cohen,5.9
Matt Dayes,5.9
Brian Hill,5.9
Joe Williams,5.9
Corey Clement,5.8
De'Angelo Henderson Sr.,5.8
Dare Ogunbowale,5.8
Jamaal Williams,5.8
Elijah Hood,5.6
Elijah McGuire,5.6
Devine Redding,5.6
Khalfani Muhammad,5.5
I'Tavius Mathers,5.4
Stanley Williams,5.4
Mike Williams,6.8
John Ross,6.7
ArDarius Stewart,6.3
Isaiah Ford,6.2
Chris Godwin,6.2
Zay Jones,6.2
Josh Reynolds,6.2
Taywan Taylor,6.2
Amara Darboh,6.1
Carlos Henderson,6.1
Travis Rudolph,6.1
Jehu Chesson,5.9
Robert Davis,5.9
Kenny Golladay,5.9
Artavis Scott,5.9
Quincy Adeboyejo,5.8
KD Cannon,5.8
Josh Malone,5.8
Darreus Rogers,5.8
Ryan Switzer,5.8
Trey Griffey,5.6
Drew Morgan,5.6
Noel Thomas,5.6
Krishawn Hogan,5.5
James Quick,5.5
Billy Brown,5.4
Karel Hamilton,5.4
Jerome Lane,5.4
Speedy Noil,5.4
Michael Rector,5.4
Tony Stevens,5.4
Jordan Westerkamp,5.4
DeAngelo Yancey,5.4
O.J. Howard,7.0
Evan Engram,6.4
Jake Butt,6.3
Adam Shaheen,6.2
Jordan Leggett,6.1
George Kittle,5.9
Eric Saubert,5.9
Cole Hikutini,5.8
Brandon Barnes,5.6
Scott Orndoff,5.6
Pharaoh Brown,5.4
Taylor McNamara,5.4
Sam Darnold,7.1
Josh Rosen,6.7
Lamar Jackson,6.4
Luke Falk,6.1
Kyle Lauletta,5.8
Kurt Benkert,5.5
J.T. Barrett,5.4
Chase Litton,5.4
Nic Shimonek,5.4
Danny Etling,5.1
Nick Stevens,5.1
Saquon Barkley,7.45
Ronald Jones,6.7
Kerryon Johnson,6.3
Nick Chubb,6.2
Royce Freeman,6.1
John Kelly,6.1
Kalen Ballage,5.9
Chase Edmonds,5.9
Jaylen Samuels,5.9
Mark Walton,5.9
Justin Jackson,5.8
Josh Adams,5.6
Ryan Green,5.6
Ito Smith,5.5
Trenton Cannon,5.4
Gus Edwards,5.4
Quinton Flowers,5.4
Kyle Hicks,5.4
Kamryn Pettway,5.4
Ralph Webb,5.4
Mike Boone,5.1
Justin Crawford,5.1
D'Ernest Johnson,5.1
Calvin Ridley,6.8
DJ Chark,6.3
DJ Moore,6.3
Michael Gallup,6.2
Anthony Miller,6.2
Equanimeous St. Brown,6.2
Marcell Ateman,6.1
Keke Coutee,6.1
Tre'Quan Smith,6.1
Deontay Burnett,5.9
Russell Gage,5.9
Jordan Lasley,5.9
Auden Tate,5.9
Cedrick Wilson Jr.,5.9
Quadree Henderson,5.8
Byron Pringle,5.8
Jaleel Scott,5.8
Marquez Valdes-Scantling,5.8
Javon Wims,5.8
Gary McKnight,5.6
Jalen Tolliver,5.6
Davon Grayson,5.5
Jake Wieneke,5.5
Darren Andrews,5.4
Saeed Blacknall,5.4
Devonte Boyd,5.4
Robert Foster,5.4
Andre Levrone,5.4
Ray-Ray McCloud,5.4
Cam Phillips,5.4
Taj Williams,5.4
Cam Sims,5.1
Mike Gesicki,6.4
Dallas Goedert,6.3
Mark Andrews,6.2
Tyler Conklin,6.1
Durham Smythe,6.1
Ryan Izzo,5.9
Troy Fumagalli,5.8
Jordan Thomas,5.6
David Wells,5.5
Ross Dwelley,5.4
Cam Serigne,5.4
