draft_year,position,player_name,grade
2014,QB,Blake Bortles,6.80
2014,QB,Johnny Manziel,6.40
2014,QB,AJ McCarron,6.20
2014,QB,Jimmy Garoppolo,5.90
2014,QB,Jeff Mathews,5.80
2014,QB,Stephen Morris,5.80
2014,QB,David Fales,5.60
2014,QB,Tom Savage,5.60
2014,QB,Garrett Gilbert,5.50
2014,QB,Connor Shaw,5.50
2014,QB,Keith Price,5.10
2014,RB,Carlos Hyde,6.70
2014,RB,Ka'Deem Carey,6.20
2014,RB,Devonta Freeman,6.10
2014,RB,Dri Archer,5.90
2014,RB,De'Anthony Thomas,5.90
2014,RB,James Baker,5.80
2014,RB,Storm Johnson,5.80
2014,RB,Bishop Sankey,5.80
2014,RB,James Wilder Jr.,5.80
2014,RB,George Atkinson,5.60
2014,RB,Tyler Gaffney,5.60
2014,RB,Ben Malena,5.60
2014,RB,LaDarius Perkins,5.60
2014,RB,Brennan Clay,5.50
2014,RB,Isaiah Crowell,5.50
2014,RB,Stephen Houston,5.50
2014,RB,Silas Redd,5.50
2014,RB,Lorenzo Taliaferro,5.50
2014,RB,Damien Williams,5.50
2014,RB,Senorise Perry,5.40
2014,RB,Zach Bauman,5.10
2014,RB,Kiero Small,5.10
2014,WR,Sammy Watkins,7.10
2014,WR,Mike Evans,6.70
2014,WR,Davante Adams,6.40
2014,WR,Brandin Cooks,6.30
2014,WR,Allen Robinson,6.20
2014,WR,Jordan Matthews,6.10
2014,WR,Bruce Ellington,5.90
2014,WR,Jared Abbrederis,5.80
2014,WR,Martavis Bryant,5.80
2014,WR,Kain Colter,5.80
2014,WR,Shaq Evans,5.80
2014,WR,Josh Huff,5.80
2014,WR,Cody Latimer,5.80
2014,WR,Paul Richardson,5.80
2014,WR,Devin Street,5.80
2014,WR,Brelan Chancellor,5.60
2014,WR,Ryan Grant,5.60
2014,WR,Allen Hurns,5.60
2014,WR,Marcus Lucas,5.60
2014,WR,Tevin Reese,5.60
2014,WR,Willie Snead,5.60
2014,WR,Michael Campanaro,5.50
2014,WR,Donte Foster,5.50
2014,WR,Jeremy Gallon,5.50
2014,WR,Cody Hoffman,5.50
2014,WR,Corey Brown,5.40
2014,WR,Torrence Allen,5.10
2014,WR,Damian Copeland,5.10
2014,WR,Gerald Ford,5.10
2014,WR,Seantavius Jones,5.10
2014,WR,Rashad Lawrence,5.10
2014,WR,Bernard Reedy,5.10
2014,WR,Albert Wilson,5.10
2014,TE,Eric Ebron,6.80
2014,TE,C.J. Fiedorowicz,6.10
2014,TE,Jace Amaro,5.90
2014,TE,Marcel Jensen,5.80
2014,TE,Jacob Pedersen,5.80
2014,TE,Blake Annen,5.60
2014,TE,Xavier Grimble,5.60
2014,TE,Arthur Lynch,5.60
2014,TE,Joe Don Duncan,5.50
2014,TE,Nic Jacobs,5.50
2014,TE,Ted Bolser,5.10
2014,TE,Mike Flacco,5.10
2014,TE,D.J. Tialavea,5.10
2015,QB,Jameis Winston,7.00
2015,QB,Brett Hundley,6.10
2015,QB,Sean Mannion,5.80
2015,QB,Bryce Petty,5.80
2015,QB,Connor Halliday,5.60
2015,QB,Blake Sims,5.60
2015,QB,Anthony Boone,5.40
2015,QB,Dylan Thompson,5.10
2015,RB,Melvin Gordon,6.80
2015,RB,Tevin Coleman,6.70
2015,RB,Jay Ajayi,6.40
2015,RB,T.J. Yeldon,6.20
2015,RB,Cameron Artis-Payne,5.90
2015,RB,Mike Davis,5.90
2015,RB,Malcolm Brown,5.80
2015,RB,Braylon Heard,5.80
2015,RB,Matt Jones,5.80
2015,RB,Marcus Murphy,5.80
2015,RB,Trey Williams,5.80
2015,RB,Terrence Magee,5.60
2015,RB,Jahwan Edwards,5.50
2015,RB,Ross Scheuerman,5.50
2015,RB,Michael Dyer,5.40
2015,RB,Kenny Hilliard,5.10
2015,WR,Amari Cooper,7.10
2015,WR,Kevin White,6.70
2015,WR,Jaelen Strong,6.30
2015,WR,Dorial Green-Beckham,6.20
2015,WR,Vince Mayle,6.20
2015,WR,Nelson Agholor,6.10
2015,WR,Stefon Diggs,6.10
2015,WR,Tyler Lockett,6.10
2015,WR,Dres Anderson,5.90
2015,WR,Chris Conley,5.90
2015,WR,Titus Davis,5.90
2015,WR,Justin Hardy,5.90
2015,WR,Tony Lippett,5.90
2015,WR,Darren Waller,5.90
2015,WR,Andre Davis,5.80
2015,WR,Dezmin Lewis,5.80
2015,WR,Tre McBride,5.80
2015,WR,Devante Davis,5.60
2015,WR,Deon Long,5.60
2015,WR,Bud Sasser,5.60
2015,WR,Jordan Taylor,5.60
2015,WR,Kaelin Clay,5.50
2015,WR,Zach D'Orazio,5.40
2015,WR,Nigel King,5.40
2015,WR,Kasen Williams,5.40
2015,WR,Geremy Davis,5.10
2015,WR,Ezell Ruffin,5.10
2015,TE,Clive Walford,6.20
2015,TE,Rory Anderson,5.90
2015,TE,Ben Koyack,5.90
2015,TE,Nick O'Leary,5.90
2015,TE,Gerald Christian,5.80
2015,TE,James O'Shaughnessy,5.80
2015,TE,C.J. Uzomah,5.80
2015,TE,Jesse James,5.60
2015,TE,E.J. Bibbs,5.50
2015,TE,Casey Pierce,5.50
2015,TE,Kennard Backman,5.10
2015,TE,Matt Lengel,5.10
2016,QB,Jared Goff,7.00
2016,QB,Carson Wentz,6.70
2016,QB,Jacoby Brissett,6.10
2016,QB,Brandon Allen,5.90
2016,QB,Cardale Jones,5.90
2016,QB,Dak Prescott,5.90
2016,QB,Nate Sudfeld,5.80
2016,QB,Jeff Driskel,5.60
2016,QB,Kevin Hogan,5.50
2016,QB,Josh Woodrum,5.10
2016,RB,Ezekiel Elliott,7.30
2016,RB,Jordan Howard,6.70
2016,RB,Alex Collins,6.20
2016,RB,Paul Perkins,6.20
2016,RB,Jonathan Williams,6.10
2016,RB,Kelvin Taylor,5.90
2016,RB,Marshaun Coprich,5.80
2016,RB,Devon Johnson,5.80
2016,RB,Peyton Barber,5.60
2016,RB,Wendell Smallwood,5.60
2016,RB,Daniel Lasco,5.50
2016,RB,Zac Brooks,5.40
2016,RB,Darius Jackson,5.40
2016,RB,DeAndre Washington,5.40
2016,WR,Laquon Treadwell,6.80
2016,WR,Will Fuller,6.70
2016,WR,Josh Doctson,6.30
2016,WR,Michael Thomas,6.30
2016,WR,Demarcus Robinson,6.20
2016,WR,Braxton Miller,6.10
2016,WR,Moritz Boehringer,5.90
2016,WR,Aaron Burbridge,5.90
2016,WR,Jakeem Grant,5.90
2016,WR,Kenny Lawler,5.90
2016,WR,Jalin Marshall,5.90
2016,WR,Tajae Sharpe,5.90
2016,WR,Duke Williams,5.90
2016,WR,K.J. Maye,5.80
2016,WR,Malcolm Mitchell,5.80
2016,WR,DeMarcus Ayers,5.60
2016,WR,D.J. Foster,5.60
2016,WR,Ricardo Louis,5.60
2016,WR,Alonzo Russell,5.60
2016,WR,Mekale McKay,5.50
2016,WR,Robbie Chosen,5.40
2016,WR,Trevor Davis,5.40
2016,WR,Cayleb Jones,5.40
2016,WR,Mike Thomas,5.40
2016,WR,Jared Dangerfield,5.10
2016,WR,Johnny Holton,5.10
2016,WR,Devin Lucien,5.10
2016,TE,Hunter Henry,7.00
2016,TE,Austin Hooper,6.20
2016,TE,Tyler Higbee,6.10
2016,TE,Beau Sandland,5.90
2016,TE,Kyle Carter,5.80
2016,TE,Jake McGee,5.80
2016,TE,Ryan Malleck,5.60
2016,TE,Stephen Anderson,5.50
2016,TE,Temarrick Hemingway,5.50
2016,TE,Dillon Gordon,5.40
2016,TE,Darion Griswold,5.40
2016,TE,Steven Scheu,5.10
2017,QB,Mitchell Trubisky,7.00
2017,QB,DeShone Kizer,6.30
2017,QB,Nathan Peterman,6.30
2017,QB,Chad Kelly,5.90
2017,QB,Joshua Dobbs,5.60
2017,QB,Cooper Rush,5.50
2017,QB,Zach Terrell,5.40
2017,QB,Mitch Leidner,5.10
2017,QB,Wes Lunt,5.10
2017,RB,Leonard Fournette,7.10
2017,RB,Alvin Kamara,6.70
2017,RB,Joe Mixon,6.40
2017,RB,Kareem Hunt,6.10
2017,RB,Jeremy McNichols,6.10
2017,RB,Tarik Cohen,5.90
2017,RB,Matt Dayes,5.90
2017,RB,Brian Hill,5.90
2017,RB,Joe Williams,5.90
2017,RB,Corey Clement,5.80
2017,RB,De'Angelo Henderson Sr.,5.80
2017,RB,Dare Ogunbowale,5.80
2017,RB,Jamaal Williams,5.80
2017,RB,Elijah Hood,5.60
2017,RB,Elijah McGuire,5.60
2017,RB,Devine Redding,5.60
2017,RB,Khalfani Muhammad,5.50
2017,RB,I'Tavius Mathers,5.40
2017,RB,Stanley Williams,5.40
2017,WR,Mike Williams,6.80
2017,WR,John Ross,6.70
2017,WR,ArDarius Stewart,6.30
2017,WR,Isaiah Ford,6.20
2017,WR,Chris Godwin,6.20
2017,WR,Zay Jones,6.20
2017,WR,Josh Reynolds,6.20
2017,WR,Taywan Taylor,6.20
2017,WR,Amara Darboh,6.10
2017,WR,Carlos Henderson,6.10
2017,WR,Travis Rudolph,6.10
2017,WR,Jehu Chesson,5.90
2017,WR,Robert Davis,5.90
2017,WR,Kenny Golladay,5.90
2017,WR,Artavis Scott,5.90
